delivery_time,feedback,hourlie,name_reviewer,price,sales_num,location,favorites,time,star_review,reviews_num,FLNCR_RSPN_CMMT,review,rating_perc,,Cleaned_Review,Label,pos,neutral,Keywords,Review_Label
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,Nathan P.,$15,63,"Leeds, United Kingdom            ",41,30-Apr-15,5,50,,"<p>Fantastic service, completed the report within an hour and was very comprehensive!<br>
Highly reccomended</p>",98%,,"Fantastic service, completed the report within an hour and was very comprehensive! Highly reccomended",pos,0.649335454,0.265872018,"['Fantastic', 'service', 'completed', 'report', 'hour', 'was', 'very', 'comprehensive', 'Highly', 'reccomended']",Time
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,Derek C.,$15,63,"London, United Kingdom            ",41,29-Apr-15,5,50,,<p>Fantastic work once again and will be back shortly</p>,98%,,Fantastic work once again and will be back shortly,pos,0.576385782,0.367196719,"['Fantastic', 'work', 'once', 'again', 'will', 'be', 'back', 'shortly']",Quality
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,D.M S.,$15,63,"London, United Kingdom            ",41,29-Apr-15,4,50,,<p>Thanks Kevin</p>,98%,,Thanks Kevin,neutral,0.625666397,0.565721379,"['Thanks', 'Kevin']",Quality
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,Dave M.,$15,63,"Ontario, United States            ",41,29-Apr-15,4,50,,<p>Great report in super fast time!!!</p>,98%,,Great report in super fast time!!!,pos,0.611715813,0.357954111,"['Great', 'report', 'super', 'fast', 'time']",Time
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,Ian B.,$15,63,"San Francisco, United States            ",41,29-Apr-15,4,50,,<p>Kevin was quick and helpful.  The report proved to be very informative and has driven several changes we have already put into place to enhance SEO.</p>,98%,,Kevin was quick and helpful.  The report proved to be very informative and has driven several changes we have already put into place to enhance SEO.,pos,0.671079594,0.416387371,"['Kevin', 'was', 'quick', 'helpful', 'report', 'proved', 'be', 'very', 'informative', 'has', 'driven', 'several', 'changes', 'have', 'already', 'put', 'place', 'enhance', 'SEO']",Time
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,Alexander W.,$15,63,"Zurich, Switzerland            ",41,28-Apr-15,5,50,,"<p>Work was done excpected, thank you! </p>",98%,,"Work was done excpected, thank you! ",neutral,0.524190343,0.649908008,"['Work', 'was', 'done', 'excpected', 'thank']",Quality
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,Paul A.,$15,63,"Wallasey, United Kingdom            ",41,28-Apr-15,5,50,,<p>Top rate service - completed in less than an hour... 5*</p>,98%,,Top rate service - completed in less than an hour... 5*,pos,0.548810932,0.392337499,"['Top', 'rate', 'service', 'completed', 'less', 'hour', '5*']",Time
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,Paul A.,$15,63,"Wallasey, United Kingdom            ",41,28-Apr-15,5,50,,"<p>5* - Super fast service - very intertesting information.<br>
Will be a regular customer</p>",98%,,5* - Super fast service - very intertesting information. Will be a regular customer,neg,0.277410652,0.296718226,"['5*', 'Super', 'fast', 'service', 'very', 'intertesting', 'information', 'Will', 'be', 'regular', 'customer']",Time
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,Joshua A.,$15,63,"Stellenbosch, South Africa            ",41,24-Apr-15,5,50,,<p>Highly recommend.</p>,98%,,Highly recommend.,neutral,0.515409168,0.64178576,"['Highly', 'recommend']",Quality
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,Jason H.,$15,63,"Dolgellau, United Kingdom            ",41,24-Apr-15,5,50,,"<p>Delighted - thank you.<br>
Quick as well.</p>",98%,,Delighted - thank you. Quick as well.,pos,0.620498536,0.441934204,"['Delighted', 'thank', 'Quick', 'well']",Time
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,Derek C.,$15,63,"London, United Kingdom            ",41,23-Apr-15,5,50,,<p>Can't recommend Kevin enough. Always delivers on time and good quality work</p>,98%,,Can't recommend Kevin enough. Always delivers on time and good quality work,pos,0.707010538,0.176169758,"['Ca', ""n't"", 'recommend', 'Kevin', 'enough', 'Always', 'delivers', 'time', 'good', 'quality', 'work']",Quality
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,Edward R.,$15,63,"Taunton, United Kingdom            ",41,23-Apr-15,5,50,,<p>Kevin's report came through in very useful detail and within 30 minutes...very happy with the service.</p>,98%,,Kevin's report came through in very useful detail and within 30 minutes...very happy with the service.,pos,0.559420113,0.203821403,"['Kevin', 'report', 'came', 'very', 'useful', 'detail', '30', 'minutes', 'very', 'happy', 'service']",Time
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,Plus I.,$15,63,"London, United Kingdom            ",41,23-Apr-15,5,50,,<p>Kevin supplied plusidol.com a fast and exhaustive report in record time! Highly recommended.</p>,98%,,Kevin supplied plusidol.com a fast and exhaustive report in record time! Highly recommended.,pos,0.70302186,0.416259477,"['Kevin', 'supplied', 'plusidol.com', 'fast', 'exhaustive', 'report', 'record', 'time', 'Highly', 'recommended']",Time
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,William L.,$15,63,"Montreal, Canada            ",41,23-Apr-15,5,50,,<p>SEO report provided as expected.</p>,98%,,SEO report provided as expected.,pos,0.763170623,0.315017374,"['SEO', 'report', 'provided', 'expected']",Quality
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,Robert S.,$15,63,"Royston, United Kingdom            ",41,23-Apr-15,5,50,,"<p>""Within 24-Hours""??  More like within 24 minutes.  Great report &amp; super quick. </p>",98%,,"""Within 24-Hours""??  More like within 24 minutes.  Great report &; super quick. ",neg,0.464293817,0.461005873,"['24-Hours', 'More', '24', 'minutes', 'Great', 'report', 'super', 'quick']",Time
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,Alexander W.,$15,63,"Zurich, Switzerland            ",41,22-Apr-15,5,50,,<p>Fascinating report produced within a couple of hours. Great service! </p>,98%,,Fascinating report produced within a couple of hours. Great service! ,pos,0.52226626,0.162542031,"['Fascinating', 'report', 'produced', 'couple', 'hours', 'Great', 'service']",Time
