delivery_time,feedback,hourlie,name_reviewer,price,sales_num,location,favorites,time,star_review,reviews_num,FLNCR_RSPN_CMMT,review,rating_perc,
5,,Deliver a complete SEO link building package tailored to top rankings. 1 month SEO,Lawrence P.,$100,1,"Bangor, United Kingdom            ",5,19 Jun 2015,5,1,,<p>Alick thanks for a great job.. i will definitely use and again and highly recommend   </p>,100%,
5,,Give the best all in one ultimate SEO service with site Audit,Andrew M.,$31,7,"Stockport, United Kingdom            ",6,04 Jul 2015,5,3,,"<p>Fantastic SEO work and prompt replies, they took care of the job well. </p>",100%,
5,,Give the best all in one ultimate SEO service with site Audit,Max L.,$31,7,"New York City, United States            ",6,14 Jun 2015,5,3,,<p>Solid work</p>,100%,
5,,Give the best all in one ultimate SEO service with site Audit,M J.,$31,7,"City of London, United Kingdom            ",6,08 Jun 2015,5,3,,<p>wow very fast and reliable service I got good result from this  great communication will order more  thank you very  much</p>,100%,
2,,Export all organic keywords of 10 websites,Knight Caslte M.,$20,3,"City of London, United Kingdom            ",3,22 Jun 2015,5,1,,<p>Amazing and Talented. I will be using him again</p>,100%,
2,,Spy on your competitors backlinks and provide you with a PDF report,Upol Z.,$31,1,"Riyadh, Saudi Arabia            ",,16 Jun 2015,5,1,,<p>I'm satisfied with his report :)</p>,100%,
7,,Phase 2 - Full SEO Health check,Michele M.,$247,3,"London, United Kingdom            ",,25 May 2015,5,1,,<p>Very helpful audit even for SEO-savvy people like us! Have requested a second one for a different site.</p>,100%,
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,Frankie B.,$15,63,"City of London, United Kingdom            ",41,27 May 2015,5,50,,<p>Great!</p>,98%,
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,Frankie B.,$15,63,"City of London, United Kingdom            ",41,18 May 2015,5,50,,<p>Very Good! Although there is a lot I do not understand I am hoping someone else does!</p>,98%,
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,Jacqui S.,$15,63,"Sheffield, United Kingdom            ",41,13 May 2015,5,50,,<p>top job &amp  fast service</p>,98%,
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,Paul A.,$15,63,"Wallasey, United Kingdom            ",41,08 May 2015,5,50,,<p>5* Job again... great reviews... very helpful in sorting out website issues.</p>,98%,
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,Steven L.,$15,63,"Montreal, Canada            ",41,07 May 2015,5,50,,"<p>Was fast and concise, I would use this member again.</p>",98%,
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,Italo O.,$15,63,"Johannesburg, South Africa            ",41,04 May 2015,5,50,,<p>Great work from Kev</p>,98%,
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,Michael D.,$15,63,"Exeter, United Kingdom            ",41,04 May 2015,5,50,,<p>That was quick! I'm impressed with the detail... I'll look into your suggestions asap!</p>,98%,
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,Michael D.,$15,63,"Exeter, United Kingdom            ",41,04 May 2015,5,50,,<p>That was quick! I'm impressed with the detail... I'll look into your suggestions asap!</p>,98%,
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,Nick M.,$15,63,"Addlestone, United Kingdom            ",41,04 May 2015,5,50,,<p>thanks </p>,98%,
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,Debbie S.,$15,63,"Weston-super-Mare, United Kingdom            ",41,30 Apr 2015,5,50,,<p>Excellent. Did as required very quickly.</p>,98%,
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,Nathan P.,$15,63,"Leeds, United Kingdom            ",41,30 Apr 2015,5,50,,"<p>Fantastic service, completed the report within an hour and was very comprehensive!<br>
Highly reccomended</p>",98%,
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,Derek C.,$15,63,"London, United Kingdom            ",41,29 Apr 2015,5,50,,<p>Fantastic work once again and will be back shortly</p>,98%,
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,D.M S.,$15,63,"London, United Kingdom            ",41,29 Apr 2015,4,50,,<p>Thanks Kevin</p>,98%,
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,Dave M.,$15,63,"Ontario, United States            ",41,29 Apr 2015,4,50,,<p>Great report in super fast time!!!</p>,98%,
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,Ian B.,$15,63,"San Francisco, United States            ",41,29 Apr 2015,4,50,,<p>Kevin was quick and helpful.  The report proved to be very informative and has driven several changes we have already put into place to enhance SEO.</p>,98%,
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,Alexander W.,$15,63,"Zurich, Switzerland            ",41,28 Apr 2015,5,50,,"<p>Work was done excpected, thank you! </p>",98%,
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,Paul A.,$15,63,"Wallasey, United Kingdom            ",41,28 Apr 2015,5,50,,<p>Top rate service - completed in less than an hour... 5*</p>,98%,
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,Paul A.,$15,63,"Wallasey, United Kingdom            ",41,28 Apr 2015,5,50,,"<p>5* - Super fast service - very intertesting information.<br>
Will be a regular customer</p>",98%,
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,Joshua A.,$15,63,"Stellenbosch, South Africa            ",41,24 Apr 2015,5,50,,<p>Highly recommend.</p>,98%,
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,Jason H.,$15,63,"Dolgellau, United Kingdom            ",41,24 Apr 2015,5,50,,"<p>Delighted - thank you.<br>
Quick as well.</p>",98%,
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,Derek C.,$15,63,"London, United Kingdom            ",41,23 Apr 2015,5,50,,<p>Can't recommend Kevin enough. Always delivers on time and good quality work</p>,98%,
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,Edward R.,$15,63,"Taunton, United Kingdom            ",41,23 Apr 2015,5,50,,<p>Kevin's report came through in very useful detail and within 30 minutes...very happy with the service.</p>,98%,
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,Plus I.,$15,63,"London, United Kingdom            ",41,23 Apr 2015,5,50,,<p>Kevin supplied plusidol.com a fast and exhaustive report in record time! Highly recommended.</p>,98%,
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,William L.,$15,63,"Montreal, Canada            ",41,23 Apr 2015,5,50,,<p>SEO report provided as expected.</p>,98%,
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,Robert S.,$15,63,"Royston, United Kingdom            ",41,23 Apr 2015,5,50,,"<p>""Within 24-Hours""??  More like within 24 minutes.  Great report &amp; super quick. </p>",98%,
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,Alexander W.,$15,63,"Zurich, Switzerland            ",41,22 Apr 2015,5,50,,<p>Fascinating report produced within a couple of hours. Great service! </p>,98%,
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,Paul R.,$15,63,"City of London, United Kingdom            ",41,22 Apr 2015,5,50,,"<p>Exceptionally fast turnaround and a very affordable, interesting report.</p>",98%,
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,Italo O.,$15,63,"Johannesburg, South Africa            ",41,22 Apr 2015,5,50,,<p>Quick turn around time and great report.</p>,98%,
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,Skye H.,$15,63,"Worcester Park, United Kingdom            ",41,21 Apr 2015,4,50,,<p>Very prompt service (as promised) and very thorough.  Thankyou.   </p>,98%,
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,Jamie C.,$15,63,"Cullompton, United Kingdom            ",41,21 Apr 2015,5,50,,<p>Really good report. Much appreciated. Especially for such a low fee. </p>,98%,
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,El C.,$15,63,"London, United Kingdom            ",41,20 Apr 2015,5,50,,"<p>A really easy to understand report and delivered very fast - thank you!<br>
</p>",98%,
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,Samuel L.,$15,63,"Berlin, Germany            ",41,20 Apr 2015,5,50,,"<p>Excellent work provided by Kevin. It's worth much more than the price he's selling it, so you won't regret it ! It's top quality-work. I highly recommend him !! </p>",98%,
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,Shawna S.,$15,63,"Grand Blanc, United States            ",41,18 Apr 2015,5,50,,<p>Thank you very much!</p>,98%,
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,Dan O.,$15,63,"Espoo, Finland            ",41,18 Apr 2015,5,50,,<p>Thanks. Fast service</p>,98%,
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,Akwasi B.,$15,63,"Walton, United Kingdom            ",41,17 Apr 2015,5,50,,<p>Very impressed with the work</p>,98%,
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,Owen S.,$15,63,"Poole, United Kingdom            ",41,17 Apr 2015,5,50,,<p>No problems at all.</p>,98%,
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,Derek C.,$15,63,"London, United Kingdom            ",41,11 Apr 2015,5,50,,"<p>Once again Kevin delivere3d the goods well within the time limit, very helpful and friendly </p>",98%,
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,Chris N.,$15,63,"Pontypool, United Kingdom            ",41,10 Apr 2015,5,50,,<p>Great Report and Speedily delivered</p>,98%,
1,,Produce 10 very deep SEO and website analysis reports within 24 hours!,Derek C.,$15,63,"London, United Kingdom            ",41,10 Apr 2015,5,50,,<p>A real pleasure to work with does pph proud </p>,98%,
